Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,Lagging_Current_Power_Factor,Leading_Current_Power_Factor,WeekStatus,Day_of_week,Load_Type
82.44,42.52,0,88.88,100,Weekday,Monday,Medium_Load
8.5,0.25,15.73,99.96,47.54,Weekday,Friday,Medium_Load
2.95,4.54,0,54.49,100,Weekday,Thursday,Light_Load
2.81,4.14,0,56.16,100,Weekday,Monday,Light_Load
3.53,0,16.24,100,21.24,Weekend,Sunday,Light_Load
88.16,40.43,0,90.9,100,Weekday,Friday,Medium_Load
2.77,3.82,0,58.7,100,Weekend,Sunday,Light_Load
17.35,0.5,10.51,99.96,85.53,Weekend,Sunday,Maximum_Load
69.05,38.88,0,87.14,100,Weekday,Monday,Medium_Load
2.74,5.44,0,44.98,100,Weekday,Monday,Light_Load
3.42,4.61,0,59.58,100,Weekday,Wednesday,Light_Load
3.71,1.87,10.69,89.3,32.79,Weekday,Wednesday,Medium_Load
50.65,20.34,0,92.8,100,Weekday,Friday,Medium_Load
6.19,6.77,0,67.48,100,Weekday,Thursday,Light_Load
102.6,77.65,0,79.74,100,Weekday,Wednesday,Light_Load
39.78,1.01,1.69,99.97,99.91,Weekday,Monday,Medium_Load
2.77,5.47,0,45.18,100,Weekend,Saturday,Light_Load
29.23,4.72,0.54,98.72,99.98,Weekday,Monday,Medium_Load
40.5,16.13,0.04,92.9,100,Weekday,Monday,Medium_Load
3.35,4.79,0,57.31,100,Weekday,Thursday,Light_Load
3.6,4.1,0,65.98,100,Weekday,Friday,Light_Load
2.92,0,16.42,100,17.51,Weekday,Friday,Light_Load
3.13,5.29,0,50.92,100,Weekend,Saturday,Light_Load
47.84,11.02,0,97.45,100,Weekday,Friday,Maximum_Load
3.38,6.91,0,43.94,100,Weekday,Friday,Light_Load
5.51,7.27,0,60.4,100,Weekend,Saturday,Light_Load
4.03,0,17.1,100,22.94,Weekend,Sunday,Medium_Load
3.85,0,21.92,100,17.3,Weekend,Saturday,Medium_Load
4.14,5.33,0,61.34,100,Weekday,Friday,Light_Load
92.41,65.66,0,81.52,100,Weekday,Monday,Light_Load
56.81,35.32,0,84.92,100,Weekday,Friday,Light_Load
64.26,37.3,0,86.49,100,Weekend,Saturday,Maximum_Load
2.74,0,11.74,100,22.73,Weekend,Sunday,Light_Load
2.52,4.57,0,48.29,100,Weekday,Wednesday,Light_Load
108.86,35.03,0,95.19,100,Weekday,Wednesday,Medium_Load
67.28,32.36,0,90.12,100,Weekday,Thursday,Maximum_Load
29.88,0,4.03,100,99.1,Weekday,Friday,Medium_Load
4.93,0,19.26,100,24.8,Weekday,Monday,Medium_Load
3.1,3.67,0,64.53,100,Weekend,Sunday,Light_Load
6.37,5.4,0,76.28,100,Weekday,Friday,Light_Load
51.08,6.73,1.94,99.14,99.93,Weekday,Friday,Medium_Load
3.17,4.54,0,57.25,100,Weekend,Sunday,Light_Load
3.02,3.74,0,62.82,100,Weekday,Friday,Light_Load
3.53,7.38,0,43.15,100,Weekday,Tuesday,Light_Load
56.84,14.8,0,96.77,100,Weekday,Tuesday,Light_Load
65.23,39.46,0,85.56,100,Weekday,Thursday,Maximum_Load
12.46,0.36,7.74,99.96,84.95,Weekday,Tuesday,Medium_Load
6.23,0,15.34,100,37.63,Weekday,Friday,Medium_Load
3.89,2.7,0.29,82.15,99.72,Weekday,Friday,Light_Load
48.42,19.22,0,92.95,100,Weekday,Thursday,Maximum_Load
103.43,40.9,0,92.99,100,Weekday,Monday,Medium_Load
3.13,3.49,0,66.77,100,Weekday,Tuesday,Light_Load
2.92,4.36,0,55.65,100,Weekday,Monday,Light_Load
2.7,5.18,0,46.22,100,Weekday,Tuesday,Light_Load
3.1,3.13,0,70.37,100,Weekend,Sunday,Light_Load
51.52,52.7,0,69.91,100,Weekday,Friday,Light_Load
3.92,0,17.42,100,21.95,Weekday,Wednesday,Medium_Load
3.56,3.31,0,73.24,100,Weekday,Wednesday,Light_Load
31.32,5.65,0.94,98.41,99.95,Weekday,Tuesday,Maximum_Load
4.54,4.14,0,73.89,100,Weekday,Wednesday,Light_Load
45.79,12.46,0.04,96.49,100,Weekday,Friday,Medium_Load
5.29,0,21.35,100,24.05,Weekend,Saturday,Maximum_Load
3.67,3.49,0,72.47,100,Weekday,Wednesday,Light_Load
52.52,18.25,0,94.46,100,Weekday,Thursday,Medium_Load
49.28,16.63,0,94.75,100,Weekday,Wednesday,Maximum_Load
29.92,0.04,5.83,100,98.15,Weekday,Monday,Medium_Load
46.66,12.1,0,96.8,100,Weekday,Thursday,Medium_Load
72.76,9.97,0.54,99.07,100,Weekday,Wednesday,Medium_Load
2.92,1.87,0.29,84.21,99.51,Weekend,Sunday,Light_Load
2.74,4.72,0,50.2,100,Weekday,Thursday,Light_Load
2.99,3.96,0,60.26,100,Weekend,Saturday,Light_Load
3.78,3.2,0.04,76.32,99.99,Weekend,Saturday,Light_Load
4.03,0,21.28,100,18.61,Weekday,Monday,Light_Load
2.66,5.08,0,46.39,100,Weekday,Friday,Light_Load
62.96,23.51,0,93.68,100,Weekday,Friday,Medium_Load
4.46,4.75,0,68.45,100,Weekend,Sunday,Light_Load
3.17,0,13.75,100,22.47,Weekend,Sunday,Light_Load
51.88,25.38,0,89.83,100,Weekday,Wednesday,Medium_Load
2.77,5.08,0,47.87,100,Weekend,Sunday,Medium_Load
105.16,49.68,0,90.42,100,Weekday,Wednesday,Maximum_Load
42.08,5.8,6.95,99.06,98.66,Weekday,Friday,Medium_Load
56.41,21.1,0,93.66,100,Weekday,Thursday,Maximum_Load
65.09,49.46,0,79.62,100,Weekday,Friday,Maximum_Load
56.45,32.98,0,86.34,100,Weekday,Wednesday,Maximum_Load
60.73,29.88,0,89.73,100,Weekday,Wednesday,Maximum_Load
3.13,3.82,0,63.38,100,Weekend,Saturday,Light_Load
34.81,3.46,1.91,99.51,99.85,Weekday,Tuesday,Medium_Load
96.66,38.23,0,92.99,100,Weekday,Thursday,Maximum_Load
81.32,40.25,0,89.62,100,Weekday,Wednesday,Maximum_Load
41.44,3.78,1.55,99.59,99.93,Weekday,Monday,Medium_Load
2.92,4.28,0,56.36,100,Weekend,Saturday,Medium_Load
2.95,1.98,0.18,83.03,99.81,Weekday,Thursday,Light_Load
45.4,20.45,0,91.18,100,Weekday,Tuesday,Medium_Load
47.23,18.94,0,92.82,100,Weekday,Friday,Maximum_Load
3.38,4.68,0,58.55,100,Weekday,Friday,Light_Load
2.84,0,17.24,100,16.25,Weekday,Wednesday,Light_Load
3.02,0,14.69,100,20.14,Weekend,Sunday,Light_Load
3.46,7.06,0.07,44.01,99.98,Weekday,Wednesday,Medium_Load
4.5,7.99,0,49.07,100,Weekend,Saturday,Light_Load
5.87,2.41,0.58,92.51,99.52,Weekday,Thursday,Light_Load
2.95,4.21,0,57.39,100,Weekday,Monday,Light_Load
36.07,2.34,0.25,99.79,100,Weekend,Saturday,Maximum_Load
3.1,4.97,0,52.92,100,Weekday,Tuesday,Light_Load
2.95,0,17.1,100,17,Weekend,Sunday,Light_Load
96.84,11.52,0.14,99.3,100,Weekday,Tuesday,Maximum_Load
2.77,0,14,100,19.41,Weekend,Sunday,Light_Load
82.08,78.26,0,72.37,100,Weekday,Monday,Light_Load
3.31,5.4,0,52.26,100,Weekday,Thursday,Light_Load
66.46,47.74,0,81.22,100,Weekday,Thursday,Light_Load
4.54,0,26.6,100,16.82,Weekday,Friday,Medium_Load
3.28,0,5.44,100,51.63,Weekend,Sunday,Light_Load
6.55,5.9,0,74.3,100,Weekend,Saturday,Light_Load
2.99,5.47,0,47.96,100,Weekday,Wednesday,Light_Load
3.06,3.13,0,69.91,100,Weekday,Friday,Light_Load
88.09,41.83,0,90.33,100,Weekday,Monday,Maximum_Load
71.42,43.6,0,85.35,100,Weekday,Tuesday,Maximum_Load
4.46,0,19.69,100,22.09,Weekend,Sunday,Light_Load
4.57,3.06,0.14,83.09,99.95,Weekday,Monday,Light_Load
49.54,36,0,80.9,100,Weekday,Tuesday,Maximum_Load
2.88,4.75,0,51.85,100,Weekday,Tuesday,Light_Load
58.72,22,0,93.64,100,Weekday,Wednesday,Medium_Load
3.28,4.79,0,56.5,100,Weekend,Sunday,Light_Load
2.7,3.64,0,59.58,100,Weekend,Sunday,Light_Load
61.42,32.36,0,88.47,100,Weekday,Monday,Medium_Load
4,0,16.45,100,23.63,Weekday,Friday,Medium_Load
13.43,0,14.76,100,67.3,Weekday,Monday,Medium_Load
3.82,0,15.7,100,23.64,Weekday,Friday,Medium_Load
3.53,3.38,0,72.23,100,Weekday,Thursday,Light_Load
104.4,39.38,0,93.56,100,Weekday,Tuesday,Medium_Load
3.13,2.41,0,79.23,100,Weekday,Thursday,Light_Load
3.89,6.77,0,49.82,100,Weekday,Monday,Light_Load
24.44,4.68,4.86,98.22,98.08,Weekday,Thursday,Medium_Load
3.13,5.98,0,46.37,100,Weekday,Wednesday,Light_Load
94.93,42.37,0,91.32,100,Weekday,Monday,Maximum_Load
55.04,24.73,0,91.22,100,Weekday,Thursday,Maximum_Load
36.79,26.53,0,81.11,100,Weekday,Tuesday,Light_Load
5.04,4.1,0,77.57,100,Weekday,Friday,Light_Load
4.18,0,17.1,100,23.75,Weekend,Sunday,Light_Load
85.97,41.36,0,90.11,100,Weekday,Tuesday,Medium_Load
53.06,32.44,0,85.32,100,Weekday,Monday,Maximum_Load
94.79,39.46,0,92.32,100,Weekday,Friday,Maximum_Load
29.77,0,7.09,100,97.28,Weekday,Tuesday,Medium_Load
40.86,5.08,0.4,99.24,100,Weekday,Friday,Medium_Load
58.07,30.78,0,88.36,100,Weekday,Thursday,Medium_Load
3.17,4.82,0,54.95,100,Weekend,Saturday,Light_Load
111.13,37.58,0,94.73,100,Weekday,Friday,Maximum_Load
3.67,7.7,0,43.03,100,Weekday,Tuesday,Light_Load
3.38,4.54,0,59.72,100,Weekend,Sunday,Light_Load
2.84,4.82,0,50.76,100,Weekday,Tuesday,Light_Load
108,40.86,0,93.53,100,Weekday,Monday,Maximum_Load
4.75,0,24.19,100,19.27,Weekday,Wednesday,Medium_Load
83.16,46.87,0,87.12,100,Weekday,Wednesday,Maximum_Load
4.93,0,18.61,100,25.61,Weekday,Tuesday,Medium_Load
37.01,1.69,0.86,99.9,99.97,Weekday,Thursday,Medium_Load
5.11,0,20.63,100,24.04,Weekend,Sunday,Light_Load
4.61,4.9,0,68.52,100,Weekday,Thursday,Light_Load
74.27,32.62,0,91.56,100,Weekday,Monday,Maximum_Load
75.49,52.13,0,82.29,100,Weekday,Monday,Light_Load
4.79,0,26.28,100,17.93,Weekday,Tuesday,Medium_Load
55.62,26.17,0,90.48,100,Weekday,Friday,Maximum_Load
7.42,0,18.58,100,37.09,Weekday,Wednesday,Medium_Load
3.06,0,13.97,100,21.4,Weekend,Sunday,Light_Load
3.49,1.66,13.21,90.31,25.54,Weekend,Saturday,Medium_Load
32.9,13.57,0,92.45,100,Weekday,Monday,Medium_Load
104.72,56.92,0,87.86,100,Weekend,Saturday,Light_Load
77.33,44.14,0,86.85,100,Weekday,Monday,Medium_Load
2.81,0,11.52,100,23.7,Weekend,Sunday,Light_Load
144.47,78.48,0,87.87,100,Weekday,Tuesday,Maximum_Load
2.84,0,10.48,100,26.16,Weekday,Monday,Light_Load
2.88,4.07,0,57.76,100,Weekend,Sunday,Light_Load
43.06,17.24,0,92.84,100,Weekday,Wednesday,Medium_Load
26.1,0,8.5,100,95.08,Weekend,Saturday,Medium_Load
72.76,56.27,0,79.1,100,Weekday,Tuesday,Medium_Load
3.38,3.82,0,66.27,100,Weekday,Thursday,Light_Load
58.82,28.48,0,90,100,Weekday,Monday,Maximum_Load
53.57,25.96,0,89.99,100,Weekday,Thursday,Maximum_Load
2.84,0,7.56,100,35.17,Weekend,Sunday,Light_Load
65.88,27.76,0,92.15,100,Weekday,Tuesday,Maximum_Load
91.66,33.16,0,94.04,100,Weekday,Friday,Maximum_Load
3.96,0,17.24,100,22.39,Weekend,Sunday,Light_Load
2.88,6.05,0,42.98,100,Weekday,Friday,Light_Load
60.98,38.3,0,84.68,100,Weekday,Friday,Light_Load
5.83,5.72,0,71.38,100,Weekend,Sunday,Light_Load
70.63,40.21,0,86.9,100,Weekday,Thursday,Maximum_Load
3.46,2.99,0,75.66,100,Weekday,Monday,Light_Load
83.09,47.77,0,86.69,100,Weekday,Wednesday,Maximum_Load
74.56,15.34,1.19,97.95,99.99,Weekday,Thursday,Maximum_Load
105.37,38.2,0,94.01,100,Weekday,Thursday,Medium_Load
77.33,6.01,0.07,99.7,100,Weekend,Saturday,Medium_Load
87.08,40.03,0,90.86,100,Weekday,Monday,Medium_Load
4.07,0,22.97,100,17.45,Weekday,Friday,Light_Load
3.96,0,22.68,100,17.2,Weekday,Friday,Light_Load
3.06,0,16.27,100,18.48,Weekend,Sunday,Light_Load
66.78,45.61,0,82.58,100,Weekday,Wednesday,Maximum_Load
49.64,13.86,0,96.32,100,Weekday,Friday,Medium_Load
2.77,4.14,0,55.61,100,Weekday,Monday,Light_Load
4.21,4.82,0,65.78,100,Weekend,Sunday,Light_Load
4.07,3.6,0,74.9,100,Weekend,Sunday,Light_Load
2.74,4.82,0,49.42,100,Weekend,Sunday,Light_Load
3.42,0,14.94,100,22.31,Weekend,Sunday,Light_Load
2.7,4.75,0,49.42,100,Weekend,Saturday,Light_Load
2.92,4.9,0,51.19,100,Weekday,Thursday,Light_Load
7.42,0,20.3,100,34.33,Weekend,Sunday,Maximum_Load
2.74,0,5,100,48.06,Weekday,Friday,Light_Load
3.6,4.57,0,61.88,100,Weekday,Tuesday,Medium_Load
3.06,3.67,0,64.04,100,Weekend,Sunday,Light_Load
2.95,5.51,0,47.2,100,Weekday,Friday,Light_Load
3.13,4.86,0,54.15,100,Weekend,Saturday,Light_Load
46.91,13.82,0,95.92,100,Weekday,Tuesday,Medium_Load
2.88,4.57,0,53.32,100,Weekday,Friday,Light_Load
3.17,0,17.1,100,18.23,Weekend,Saturday,Light_Load
7.34,0,25.2,100,27.96,Weekday,Monday,Medium_Load
3.28,3.85,0.18,64.85,99.85,Weekend,Sunday,Light_Load
42.48,13.25,0,95.46,100,Weekday,Friday,Medium_Load
3.17,2.92,0,73.55,100,Weekend,Saturday,Light_Load
98.32,47.2,0,90.15,100,Weekday,Tuesday,Light_Load
3.42,0,16.16,100,20.7,Weekend,Saturday,Medium_Load
60.37,44.5,0,80.49,100,Weekday,Wednesday,Light_Load
3.35,0,13.82,100,23.56,Weekend,Saturday,Light_Load
3.13,0,16.99,100,18.12,Weekend,Sunday,Light_Load
2.88,4.68,0,52.41,100,Weekday,Monday,Light_Load
3.06,3.24,0,68.66,100,Weekday,Friday,Light_Load
3.53,0,4.46,100,62.06,Weekend,Saturday,Medium_Load
2.77,5.47,0,45.18,100,Weekday,Monday,Light_Load
22.03,7.34,2.48,94.87,99.37,Weekend,Saturday,Maximum_Load
63.76,31,0,89.93,100,Weekday,Wednesday,Maximum_Load
3.13,6.12,0,45.53,100,Weekend,Saturday,Light_Load
4.9,0,19.58,100,24.28,Weekday,Thursday,Medium_Load
3.82,2.56,0.4,83.07,99.46,Weekday,Friday,Light_Load
4.07,5.11,0,62.3,100,Weekend,Saturday,Light_Load
82.19,47.92,0,86.39,100,Weekday,Tuesday,Medium_Load
76.79,23.98,0,95.45,100,Weekday,Monday,Medium_Load
44.89,7.81,0.04,98.52,100,Weekday,Monday,Maximum_Load
4.68,0,25.49,100,18.06,Weekend,Saturday,Maximum_Load
43.13,3.02,0.04,99.76,100,Weekday,Tuesday,Medium_Load
3.49,5.62,0,52.76,100,Weekday,Thursday,Light_Load
3.2,4.14,0,61.16,100,Weekday,Tuesday,Light_Load
3.85,0.83,13.39,97.75,27.63,Weekday,Thursday,Medium_Load
63.14,59,0,73.07,100,Weekday,Thursday,Light_Load
102.24,42.12,0,92.46,100,Weekday,Thursday,Medium_Load
3.02,5.22,0,50.08,100,Weekday,Thursday,Light_Load
3.06,4.97,0,52.43,100,Weekend,Saturday,Light_Load
2.99,5,0,51.32,100,Weekend,Saturday,Light_Load
4.14,3.38,0.11,77.46,99.96,Weekday,Wednesday,Light_Load
5.65,0,21.53,100,25.38,Weekday,Friday,Medium_Load
43.31,16.13,0,93.71,100,Weekday,Thursday,Maximum_Load
4.18,0,16.96,100,23.93,Weekend,Sunday,Light_Load
2.99,3.71,0,62.75,100,Weekday,Monday,Light_Load
3.78,3.28,0,75.53,100,Weekend,Sunday,Light_Load
2.95,0,17.57,100,16.56,Weekend,Sunday,Medium_Load
5.94,5.22,0,75.12,100,Weekday,Wednesday,Light_Load
75.17,25.06,0,94.87,100,Weekday,Wednesday,Maximum_Load
43.31,23,0,88.32,100,Weekday,Thursday,Maximum_Load
2.99,4.36,0,56.56,100,Weekend,Saturday,Light_Load
34.42,4.14,0.07,99.28,100,Weekday,Thursday,Medium_Load
3.28,3.74,0,65.94,100,Weekend,Saturday,Light_Load
109.15,46.66,0,91.95,100,Weekday,Monday,Maximum_Load
42.44,42.37,0,70.77,100,Weekday,Friday,Light_Load
3.56,0,16.74,100,20.8,Weekend,Sunday,Light_Load
4.1,0,17.46,100,22.86,Weekend,Sunday,Light_Load
55.26,16.81,0,95.67,100,Weekday,Wednesday,Light_Load
33.91,13.68,0.61,92.74,99.98,Weekday,Thursday,Medium_Load
78.12,33.34,0,91.97,100,Weekday,Thursday,Medium_Load
2.84,5.62,0,45.1,100,Weekday,Monday,Light_Load
3.46,5.36,0,54.23,100,Weekday,Thursday,Light_Load
3.56,0,17.53,100,19.9,Weekend,Sunday,Light_Load
3.6,4.28,0,64.37,100,Weekday,Thursday,Light_Load
95.29,43.13,0,91.1,100,Weekday,Monday,Medium_Load
48.28,21.28,0,91.51,100,Weekday,Monday,Maximum_Load
3.53,7.2,0,44.02,100,Weekday,Thursday,Medium_Load
4.61,5.51,0,64.17,100,Weekend,Sunday,Light_Load
2.56,4.46,0,49.78,100,Weekend,Sunday,Light_Load
103.72,40.32,0,93.21,100,Weekday,Thursday,Medium_Load
64.69,57.56,0,74.71,100,Weekday,Wednesday,Light_Load
3.24,3.53,0,67.62,100,Weekday,Monday,Light_Load
48.17,23.62,0,89.79,100,Weekday,Thursday,Maximum_Load
51.84,25.27,0,89.89,100,Weekday,Friday,Maximum_Load
9.07,2.81,18.58,95.52,43.87,Weekday,Monday,Medium_Load
96.8,48.92,0,89.25,100,Weekday,Monday,Maximum_Load
3.06,4.43,0,56.83,100,Weekend,Saturday,Medium_Load
3.17,0,16.78,100,18.56,Weekday,Tuesday,Light_Load
47.66,24.73,0,88.76,100,Weekday,Tuesday,Maximum_Load
40.46,13.57,0.43,94.81,99.99,Weekday,Wednesday,Maximum_Load
118.37,51.55,0,91.68,100,Weekday,Thursday,Maximum_Load
2.99,0,9.36,100,30.43,Weekday,Wednesday,Medium_Load
2.59,4.36,0,51.07,100,Weekday,Tuesday,Light_Load
39.53,7.78,0.32,98.12,100,Weekday,Tuesday,Medium_Load
2.95,4.46,0,55.17,100,Weekday,Monday,Light_Load
74.45,52.42,0,81.77,100,Weekday,Thursday,Maximum_Load
62.24,40.07,0,84.08,100,Weekday,Thursday,Medium_Load
2.74,5.22,0,46.48,100,Weekday,Wednesday,Light_Load
33.34,0,10.58,100,95.32,Weekend,Saturday,Maximum_Load
5,8.06,0,52.72,100,Weekend,Sunday,Light_Load
3.67,0,25.67,100,14.15,Weekday,Friday,Medium_Load
3.1,5.4,0,49.79,100,Weekday,Thursday,Light_Load
2.95,4.61,0,53.9,100,Weekend,Sunday,Light_Load
63.4,37.73,0,85.93,100,Weekday,Monday,Maximum_Load
18.72,19.01,0,70.17,100,Weekend,Saturday,Light_Load
66.17,43.88,0,83.34,100,Weekday,Tuesday,Light_Load
2.92,5.22,0,48.82,100,Weekend,Saturday,Light_Load
4.68,4.82,0,69.66,100,Weekday,Wednesday,Light_Load
3.78,0,26.03,100,14.37,Weekend,Saturday,Medium_Load
2.81,4.97,0,49.22,100,Weekend,Sunday,Light_Load
2.77,5.8,0,43.1,100,Weekday,Monday,Light_Load
2.95,4.79,0,52.44,100,Weekday,Tuesday,Light_Load
4.03,0,22.39,100,17.71,Weekend,Saturday,Light_Load
36.25,8.71,4.97,97.23,99.07,Weekday,Tuesday,Maximum_Load
40.39,13.25,0,95.02,100,Weekday,Tuesday,Medium_Load
29.63,3.67,0.58,99.24,99.98,Weekday,Friday,Maximum_Load
2.7,0,11.99,100,21.97,Weekend,Sunday,Light_Load
2.63,3.96,0,55.32,100,Weekday,Wednesday,Light_Load
103.21,38.52,0,93.69,100,Weekday,Friday,Medium_Load
30.49,0,9.94,100,95.08,Weekday,Tuesday,Medium_Load
4.25,6.3,0,55.92,100,Weekday,Thursday,Light_Load
4.1,0,24.34,100,16.61,Weekday,Wednesday,Medium_Load
2.77,3.85,0,58.4,100,Weekend,Sunday,Light_Load
6.8,4.25,0,84.8,100,Weekend,Saturday,Light_Load
3.71,4.5,0,63.61,100,Weekday,Friday,Light_Load
46.87,21.96,0,90.55,100,Weekday,Wednesday,Maximum_Load
2.74,4.32,0,53.56,100,Weekday,Friday,Light_Load
2.81,5.87,0,43.18,100,Weekday,Friday,Light_Load
3.89,0,17.96,100,21.17,Weekday,Thursday,Medium_Load
3.56,3.02,0,76.26,100,Weekend,Sunday,Light_Load
3.92,5.15,0,60.57,100,Weekday,Tuesday,Medium_Load
3.42,6.12,0,48.78,100,Weekday,Thursday,Light_Load
59.33,47.92,0,77.79,100,Weekday,Thursday,Medium_Load
2.88,0,17.28,100,16.44,Weekend,Saturday,Medium_Load
4,3.96,0,71.07,100,Weekday,Wednesday,Light_Load
57.67,35.39,0,85.23,100,Weekday,Thursday,Maximum_Load
3.24,3.49,0,68.04,100,Weekday,Tuesday,Light_Load
5.26,3.31,0,84.64,100,Weekday,Friday,Maximum_Load
8.53,1.55,19.15,98.39,40.69,Weekday,Tuesday,Medium_Load
53.96,35.5,0,83.54,100,Weekday,Thursday,Maximum_Load
40.75,15.98,0,93.1,100,Weekday,Monday,Maximum_Load
3.35,0,5.11,100,54.83,Weekend,Saturday,Light_Load
97.49,42.88,0,91.54,100,Weekday,Tuesday,Medium_Load
2.77,6.05,0,41.63,100,Weekday,Friday,Light_Load
3.71,4.43,0,64.21,100,Weekday,Tuesday,Light_Load
3.13,4.61,0,56.17,100,Weekday,Wednesday,Light_Load
4.21,3.1,0.25,80.52,99.82,Weekday,Thursday,Light_Load
2.99,4.03,0,59.58,100,Weekday,Tuesday,Light_Load
49.79,25.52,0,88.99,100,Weekend,Saturday,Medium_Load
103.36,36.97,0,94.16,100,Weekend,Saturday,Maximum_Load
69.48,49.43,0,81.48,100,Weekday,Tuesday,Maximum_Load
2.92,0,17.35,100,16.6,Weekend,Saturday,Medium_Load
5.47,0,25.67,100,20.84,Weekday,Wednesday,Medium_Load
3.53,3.46,0,71.42,100,Weekday,Friday,Light_Load
3.28,6.8,0,43.45,100,Weekday,Monday,Light_Load
3.28,0,15.16,100,21.15,Weekend,Sunday,Light_Load
3.1,0,16.85,100,18.09,Weekend,Sunday,Light_Load
51.26,13.93,0,96.5,100,Weekday,Wednesday,Maximum_Load
2.84,4.79,0,51,100,Weekday,Friday,Light_Load
3.89,4.46,0,65.73,100,Weekday,Monday,Light_Load
56.95,21.31,0,93.66,100,Weekday,Friday,Maximum_Load
11.63,0.04,19.55,100,51.13,Weekend,Sunday,Medium_Load
87.16,41.8,0,90.17,100,Weekday,Thursday,Maximum_Load
2.95,0,11.48,100,24.89,Weekend,Sunday,Light_Load
2.56,3.67,0,57.21,100,Weekday,Wednesday,Light_Load
58.97,29.45,0,89.46,100,Weekday,Wednesday,Maximum_Load
118.15,46.62,0,93.02,100,Weekday,Monday,Maximum_Load
57.42,25.74,0,91.25,100,Weekday,Monday,Medium_Load
3.56,0,25.49,100,13.83,Weekend,Saturday,Medium_Load
