Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
0.206,0.082,239.430,0.800,0.000,0.000,0.000
3.924,0.114,240.130,16.200,0.000,38.000,17.000
1.256,0.310,241.820,5.200,0.000,0.000,11.000
3.224,0.298,242.790,13.200,0.000,39.000,0.000
3.514,0.102,239.210,14.600,0.000,37.000,18.000
0.364,0.050,241.330,1.800,0.000,0.000,0.000
1.270,0.000,240.020,5.200,0.000,0.000,18.000
0.542,0.000,242.790,2.200,0.000,0.000,1.000
0.462,0.222,242.060,2.000,0.000,2.000,0.000
0.238,0.048,235.070,1.000,0.000,0.000,1.000
1.946,0.294,245.820,8.000,0.000,0.000,20.000
4.680,0.444,239.670,19.600,0.000,4.000,28.000
0.318,0.074,243.270,1.400,0.000,1.000,0.000
3.104,0.000,242.890,12.800,0.000,0.000,18.000
0.444,0.114,245.410,1.800,0.000,0.000,1.000
1.490,0.250,241.020,6.200,0.000,2.000,18.000
0.392,0.152,244.380,1.800,0.000,1.000,1.000
2.742,0.178,238.360,11.400,0.000,0.000,17.000
0.314,0.214,239.940,1.600,0.000,0.000,0.000
1.384,0.098,237.070,5.800,0.000,0.000,0.000
0.288,0.078,245.410,1.200,0.000,0.000,0.000
1.304,0.000,242.070,5.400,0.000,0.000,18.000
1.446,0.078,242.230,6.000,0.000,0.000,0.000
0.768,0.196,244.710,3.200,0.000,2.000,0.000
0.348,0.092,246.390,1.400,0.000,0.000,0.000
1.266,0.000,240.450,5.200,0.000,0.000,19.000
0.232,0.000,241.110,1.000,0.000,0.000,0.000
1.554,0.316,240.750,6.600,0.000,1.000,17.000
0.298,0.104,244.750,1.200,0.000,1.000,0.000
0.136,0.000,240.540,0.600,0.000,0.000,1.000
1.368,0.050,243.570,5.600,0.000,0.000,18.000
2.362,0.200,235.470,10.400,6.000,1.000,28.000
0.332,0.184,242.570,1.600,0.000,1.000,1.000
0.252,0.088,240.560,1.200,0.000,1.000,0.000
0.398,0.328,241.360,2.000,0.000,1.000,0.000
0.292,0.000,240.680,1.200,0.000,0.000,0.000
0.434,0.218,241.240,2.000,0.000,0.000,0.000
0.392,0.200,242.580,1.800,0.000,0.000,0.000
0.360,0.286,240.210,2.000,0.000,0.000,0.000
0.492,0.084,242.900,2.200,0.000,0.000,0.000
1.444,0.132,245.560,5.800,0.000,1.000,19.000
0.318,0.086,242.180,1.400,0.000,0.000,0.000
3.346,0.478,239.490,14.200,0.000,26.000,17.000
0.232,0.000,245.480,1.000,0.000,0.000,0.000
0.354,0.126,248.180,1.400,0.000,0.000,1.000
0.478,0.106,244.550,2.000,0.000,0.000,0.000
1.588,0.318,239.380,6.800,0.000,3.000,18.000
0.244,0.098,240.680,1.000,0.000,2.000,1.000
0.442,0.106,241.500,2.200,0.000,0.000,1.000
0.244,0.116,238.960,1.000,0.000,0.000,1.000
0.164,0.000,236.790,0.600,0.000,0.000,0.000
0.226,0.000,239.490,1.000,0.000,0.000,0.000
0.272,0.104,239.140,1.200,1.000,1.000,0.000
1.370,0.056,244.700,5.600,0.000,0.000,0.000
0.248,0.082,244.930,1.000,0.000,0.000,0.000
0.244,0.078,234.830,1.000,0.000,0.000,0.000
0.252,0.000,246.850,1.000,0.000,0.000,1.000
1.738,0.084,238.250,7.200,0.000,0.000,17.000
0.174,0.000,242.010,0.800,0.000,0.000,0.000
0.318,0.000,235.840,1.400,0.000,0.000,0.000
0.102,0.000,235.840,0.400,0.000,0.000,0.000
0.136,0.000,241.830,0.600,0.000,0.000,1.000
1.280,0.196,232.500,5.400,0.000,0.000,17.000
0.260,0.056,244.310,1.000,0.000,0.000,1.000
0.218,0.112,241.920,1.000,0.000,2.000,1.000
0.162,0.142,241.850,0.800,0.000,1.000,1.000
1.032,0.334,239.640,4.400,0.000,1.000,11.000
0.226,0.000,243.450,1.000,0.000,0.000,0.000
4.300,0.524,235.900,18.200,37.000,1.000,17.000
0.244,0.118,241.790,1.000,0.000,0.000,1.000
1.576,0.116,239.600,6.600,0.000,0.000,18.000
0.280,0.046,244.550,1.200,0.000,0.000,0.000
0.222,0.000,247.260,0.800,0.000,0.000,0.000
3.980,0.192,242.120,16.400,38.000,2.000,18.000
0.410,0.256,242.350,2.000,0.000,2.000,0.000
1.324,0.252,241.450,5.600,0.000,0.000,0.000
0.328,0.100,242.990,1.400,0.000,0.000,1.000
1.618,0.050,239.700,6.600,0.000,0.000,18.000
0.438,0.132,239.780,1.800,0.000,1.000,0.000
0.284,0.212,241.110,1.400,0.000,2.000,0.000
0.400,0.226,246.000,1.800,0.000,0.000,1.000
1.300,0.070,234.220,5.400,0.000,0.000,17.000
1.632,0.158,239.080,6.800,0.000,1.000,18.000
0.606,0.054,240.800,2.400,0.000,1.000,1.000
0.490,0.214,244.900,2.200,0.000,1.000,0.000
1.340,0.046,246.460,5.400,0.000,0.000,19.000
0.490,0.000,243.680,2.200,0.000,0.000,0.000
0.264,0.000,246.690,1.000,0.000,0.000,1.000
0.130,0.000,241.180,0.600,0.000,0.000,1.000
0.496,0.334,239.960,2.400,0.000,1.000,1.000
0.396,0.096,235.630,1.800,0.000,1.000,0.000
3.002,0.058,238.540,12.600,0.000,0.000,18.000
0.148,0.000,243.780,0.600,0.000,0.000,1.000
0.216,0.086,237.170,1.000,0.000,0.000,0.000
1.318,0.000,237.580,5.400,0.000,0.000,18.000
1.322,0.050,241.900,5.400,0.000,0.000,18.000
2.164,0.166,242.800,8.800,0.000,1.000,0.000
0.228,0.000,246.780,0.800,0.000,0.000,1.000
0.318,0.220,242.500,1.600,0.000,1.000,1.000
2.336,0.248,243.170,9.600,0.000,0.000,29.000
0.342,0.080,241.450,1.400,0.000,0.000,0.000
0.400,0.212,245.400,1.800,0.000,1.000,0.000
0.572,0.000,244.030,2.400,0.000,0.000,0.000
0.362,0.138,248.030,1.600,0.000,0.000,1.000
0.314,0.218,239.200,1.600,0.000,0.000,0.000
3.232,0.276,241.980,13.400,0.000,0.000,18.000
0.174,0.000,239.770,1.000,0.000,0.000,1.000
1.392,0.056,233.750,6.000,0.000,0.000,17.000
1.366,0.260,241.100,5.800,0.000,2.000,1.000
0.138,0.000,241.300,0.600,0.000,0.000,1.000
0.212,0.000,240.610,0.800,0.000,0.000,0.000
2.258,0.158,234.270,9.800,0.000,0.000,0.000
0.336,0.086,241.970,1.600,0.000,0.000,1.000
2.682,0.096,241.960,11.000,0.000,0.000,18.000
1.038,0.226,240.960,4.400,0.000,0.000,12.000
0.262,0.000,240.080,1.200,0.000,0.000,0.000
0.102,0.000,235.140,0.400,0.000,0.000,0.000
0.430,0.152,243.750,2.000,0.000,0.000,1.000
1.524,0.000,246.510,7.800,24.000,0.000,1.000
1.224,0.106,235.110,5.200,0.000,0.000,17.000
1.488,0.114,246.450,6.000,0.000,0.000,19.000
1.522,0.078,243.590,6.200,0.000,0.000,19.000
1.454,0.080,244.310,5.800,0.000,0.000,19.000
1.396,0.388,241.810,7.600,15.000,1.000,0.000
1.516,0.078,241.040,6.200,0.000,0.000,18.000
3.104,0.000,239.050,13.000,0.000,0.000,18.000
1.456,0.110,241.050,6.000,0.000,0.000,18.000
0.680,0.106,241.180,2.800,0.000,0.000,1.000
1.464,0.192,241.130,6.000,0.000,0.000,18.000
0.394,0.214,245.070,1.800,0.000,1.000,0.000
2.250,0.334,244.440,9.600,2.000,0.000,18.000
0.302,0.068,236.560,1.200,0.000,0.000,0.000
0.146,0.050,241.520,0.600,0.000,0.000,1.000
0.160,0.000,242.820,0.600,0.000,0.000,1.000
0.344,0.232,240.520,1.600,0.000,0.000,1.000
1.458,0.060,242.140,6.000,0.000,1.000,19.000
3.826,0.120,242.800,15.600,39.000,0.000,19.000
2.230,0.114,237.760,9.400,0.000,0.000,17.000
0.518,0.124,244.580,2.400,0.000,0.000,0.000
2.314,0.056,239.550,9.600,0.000,0.000,0.000
0.412,0.000,245.610,2.000,0.000,0.000,0.000
0.340,0.246,242.940,1.600,0.000,1.000,0.000
1.806,0.000,243.830,7.400,0.000,0.000,0.000
1.630,0.000,237.620,6.800,0.000,0.000,0.000
0.318,0.108,238.160,1.400,0.000,0.000,0.000
0.170,0.060,239.400,0.800,0.000,0.000,0.000
1.572,0.184,241.730,6.600,0.000,0.000,19.000
4.126,0.084,239.390,17.400,0.000,0.000,17.000
2.882,0.348,238.120,12.200,0.000,39.000,0.000
0.298,0.088,242.530,1.200,0.000,0.000,0.000
0.282,0.000,246.040,1.200,0.000,0.000,1.000
1.268,0.054,239.840,5.200,0.000,0.000,17.000
2.828,0.298,241.520,11.800,0.000,0.000,19.000
0.362,0.060,238.630,1.800,0.000,0.000,0.000
0.206,0.112,240.900,1.000,0.000,2.000,0.000
1.372,0.224,240.100,5.800,0.000,0.000,18.000
1.750,0.648,238.790,8.000,0.000,0.000,0.000
1.472,0.064,241.840,6.000,0.000,0.000,19.000
1.772,0.220,239.190,7.400,0.000,0.000,0.000
0.112,0.000,244.790,0.400,0.000,0.000,0.000
1.330,0.000,241.540,5.400,0.000,0.000,18.000
0.332,0.102,243.980,1.400,0.000,0.000,0.000
1.850,0.266,240.390,8.800,0.000,0.000,12.000
0.426,0.244,239.800,2.000,0.000,1.000,0.000
0.256,0.258,241.740,1.400,0.000,0.000,1.000
0.366,0.098,243.350,1.600,0.000,0.000,1.000
1.802,0.294,240.450,7.600,0.000,0.000,0.000
0.930,0.242,242.390,4.000,0.000,0.000,11.000
0.518,0.370,247.590,2.600,0.000,1.000,0.000
3.644,0.270,236.580,15.400,1.000,37.000,18.000
1.430,0.086,242.200,5.800,0.000,0.000,19.000
0.282,0.126,242.230,1.200,0.000,0.000,0.000
0.358,0.082,237.420,1.600,0.000,0.000,0.000
2.210,0.000,237.350,9.200,0.000,0.000,18.000
1.662,0.074,240.950,6.800,0.000,1.000,18.000
0.496,0.062,239.810,2.200,0.000,2.000,1.000
0.238,0.140,243.410,1.000,0.000,1.000,1.000
1.472,0.062,239.250,6.000,0.000,0.000,18.000
0.336,0.218,239.650,1.600,0.000,0.000,1.000
0.600,0.248,239.140,2.800,0.000,3.000,1.000
0.158,0.000,242.030,0.600,0.000,0.000,0.000
0.330,0.088,245.660,1.400,0.000,0.000,0.000
0.432,0.000,243.150,2.000,0.000,0.000,0.000
0.338,0.232,240.640,1.600,0.000,0.000,0.000
4.274,0.208,236.190,18.000,37.000,0.000,17.000
1.002,0.088,241.710,4.200,0.000,0.000,0.000
1.748,0.106,246.330,7.000,0.000,0.000,0.000
0.840,0.156,239.990,3.400,0.000,0.000,0.000
0.448,0.244,241.460,2.000,1.000,0.000,0.000
2.090,0.200,238.210,8.800,0.000,0.000,28.000
2.314,0.088,239.120,9.600,0.000,0.000,17.000
1.392,0.066,243.110,5.600,0.000,0.000,18.000
0.382,0.108,242.350,1.600,0.000,0.000,0.000
0.232,0.000,241.770,1.000,0.000,1.000,0.000
0.474,0.154,247.900,2.200,0.000,0.000,0.000
0.316,0.130,244.420,1.400,0.000,0.000,0.000
0.254,0.054,241.080,1.000,0.000,0.000,1.000
0.306,0.250,244.830,1.600,0.000,1.000,1.000
1.968,0.120,237.830,8.400,0.000,0.000,17.000
1.718,0.256,239.610,7.200,0.000,1.000,0.000
2.952,0.130,233.860,12.600,0.000,0.000,17.000
0.156,0.000,242.080,0.600,0.000,0.000,1.000
1.612,0.138,240.890,6.600,0.000,0.000,18.000
0.172,0.000,242.850,0.800,0.000,0.000,1.000
0.402,0.210,240.880,1.800,0.000,2.000,0.000
2.376,0.116,236.700,10.000,0.000,1.000,17.000
2.486,0.058,243.480,10.200,0.000,1.000,18.000
0.304,0.082,243.500,1.200,0.000,1.000,0.000
2.108,0.078,242.410,8.600,0.000,0.000,18.000
2.266,0.786,240.710,9.800,4.000,1.000,18.000
2.502,0.180,239.810,10.400,0.000,1.000,18.000
2.568,0.474,236.340,11.000,0.000,2.000,17.000
3.744,0.062,237.620,16.400,20.000,4.000,18.000
0.204,0.100,240.830,1.000,0.000,1.000,0.000
0.332,0.140,243.460,1.400,0.000,0.000,1.000
1.442,0.290,240.190,6.000,0.000,1.000,19.000
0.230,0.000,241.860,1.000,0.000,0.000,0.000
0.270,0.000,242.350,1.200,0.000,0.000,0.000
0.354,0.106,243.920,1.600,0.000,1.000,0.000
5.106,0.082,233.070,21.800,36.000,2.000,17.000
2.120,0.000,237.690,8.800,0.000,0.000,18.000
1.294,0.046,239.180,5.400,0.000,0.000,19.000
3.124,0.092,237.890,13.000,0.000,0.000,18.000
0.520,0.000,241.860,2.200,0.000,0.000,0.000
0.214,0.096,238.920,1.000,0.000,0.000,1.000
0.420,0.144,240.030,1.800,0.000,2.000,0.000
1.540,0.084,232.380,6.600,0.000,1.000,17.000
1.308,0.216,234.260,5.600,0.000,1.000,16.000
0.208,0.106,241.800,1.000,0.000,0.000,0.000
0.172,0.000,243.360,0.600,0.000,0.000,0.000
1.748,0.106,239.040,7.200,0.000,0.000,18.000
0.080,0.000,240.080,0.200,0.000,0.000,1.000
0.158,0.122,240.510,0.800,0.000,0.000,1.000
0.768,0.062,242.580,3.200,0.000,1.000,0.000
0.338,0.212,242.810,1.600,0.000,0.000,0.000
2.064,0.058,239.440,8.600,0.000,0.000,18.000
2.666,0.000,242.140,11.000,0.000,39.000,0.000
0.286,0.242,242.780,1.400,0.000,1.000,1.000
0.230,0.106,242.080,1.000,0.000,1.000,1.000
0.650,0.000,243.090,2.800,0.000,0.000,1.000
0.302,0.000,237.530,1.600,0.000,0.000,0.000
1.010,0.134,241.680,4.200,0.000,0.000,0.000
1.450,0.076,238.730,6.000,0.000,0.000,18.000
0.354,0.122,244.880,1.400,0.000,0.000,0.000
0.590,0.000,240.360,2.400,0.000,0.000,1.000
0.270,0.000,244.820,1.200,0.000,0.000,0.000
0.600,0.086,243.350,2.400,0.000,1.000,1.000
0.578,0.154,231.820,2.800,0.000,0.000,0.000
2.900,0.000,242.440,12.000,0.000,1.000,18.000
0.264,0.202,236.030,1.400,0.000,1.000,0.000
0.208,0.064,238.590,0.800,0.000,1.000,0.000
3.838,0.068,237.670,16.000,1.000,37.000,17.000
0.224,0.000,238.390,1.000,0.000,0.000,1.000
0.294,0.224,238.420,1.600,0.000,2.000,0.000
0.156,0.124,240.660,0.800,0.000,0.000,0.000
0.228,0.124,240.120,1.000,0.000,0.000,0.000
1.014,0.082,245.670,4.200,0.000,2.000,0.000
0.336,0.108,241.920,1.400,0.000,0.000,1.000
0.226,0.000,250.290,0.800,0.000,0.000,0.000
0.460,0.148,241.460,2.000,0.000,4.000,0.000
0.362,0.000,243.460,1.800,0.000,0.000,1.000
0.328,0.174,241.300,1.600,0.000,0.000,0.000
1.006,0.118,237.600,4.200,0.000,0.000,0.000
1.470,0.084,239.130,6.000,0.000,1.000,18.000
0.652,0.000,241.710,2.800,0.000,0.000,1.000
0.516,0.000,241.710,2.200,0.000,0.000,1.000
0.356,0.104,243.430,1.600,0.000,0.000,0.000
0.994,0.090,234.740,4.200,0.000,0.000,0.000
0.286,0.066,242.780,1.400,0.000,0.000,0.000
0.378,0.132,244.060,1.600,0.000,0.000,1.000
1.386,0.078,241.080,5.800,0.000,0.000,0.000
0.964,0.198,240.130,4.000,1.000,0.000,1.000
0.252,0.058,245.450,1.200,0.000,0.000,0.000
0.432,0.000,243.980,1.800,0.000,0.000,0.000
0.308,0.224,238.290,1.600,0.000,0.000,0.000
0.162,0.064,242.130,0.800,0.000,0.000,1.000
0.276,0.100,247.020,1.200,0.000,1.000,0.000
0.266,0.000,245.730,1.000,0.000,0.000,0.000
1.076,0.082,242.230,4.400,0.000,0.000,0.000
0.102,0.000,240.660,0.400,0.000,0.000,0.000
0.278,0.166,241.000,1.400,0.000,0.000,0.000
1.834,0.240,238.340,7.600,0.000,0.000,0.000
0.418,0.052,244.970,2.000,0.000,1.000,0.000
0.466,0.062,242.570,2.200,0.000,0.000,0.000
1.360,0.060,238.850,5.600,1.000,0.000,18.000
0.250,0.108,238.360,1.000,0.000,0.000,1.000
0.226,0.084,238.690,1.000,0.000,0.000,0.000
0.400,0.244,246.010,1.800,0.000,2.000,0.000
0.104,0.000,241.030,0.400,0.000,0.000,0.000
1.170,0.000,236.950,4.800,0.000,0.000,18.000
1.992,0.202,242.590,8.600,0.000,24.000,0.000
0.168,0.000,238.550,1.000,0.000,0.000,0.000
3.874,0.048,241.290,16.000,38.000,0.000,0.000
0.458,0.302,242.000,2.200,0.000,1.000,1.000
1.810,0.086,245.910,7.400,0.000,1.000,19.000
0.270,0.068,244.390,1.200,0.000,0.000,0.000
0.252,0.000,245.570,1.000,0.000,0.000,1.000
4.172,0.066,237.360,17.600,0.000,0.000,17.000
0.082,0.000,241.440,0.200,0.000,0.000,1.000
0.234,0.112,243.670,1.000,0.000,0.000,1.000
1.278,0.134,244.860,5.200,0.000,0.000,1.000
1.964,0.194,240.400,8.200,0.000,0.000,19.000
0.422,0.204,246.700,1.800,0.000,0.000,1.000
0.474,0.088,246.200,2.000,0.000,0.000,0.000
0.696,0.432,240.210,3.600,0.000,1.000,4.000
1.840,0.000,239.400,7.600,0.000,0.000,19.000
1.432,0.074,244.790,5.800,0.000,0.000,18.000
0.172,0.106,238.700,0.800,0.000,0.000,0.000
0.134,0.000,243.540,0.600,0.000,1.000,0.000
0.218,0.000,243.750,0.800,0.000,0.000,0.000
0.204,0.000,240.190,0.800,0.000,0.000,0.000
0.918,0.294,237.330,4.000,0.000,0.000,0.000
2.922,0.056,237.860,12.200,0.000,0.000,18.000
0.368,0.100,244.790,1.600,0.000,1.000,1.000
0.406,0.216,245.720,1.800,0.000,0.000,1.000
0.318,0.052,244.950,1.200,0.000,0.000,0.000
0.354,0.092,239.920,1.600,0.000,0.000,0.000
1.078,0.000,245.940,4.400,0.000,0.000,1.000
1.394,0.078,240.850,5.800,0.000,0.000,18.000
1.640,0.264,241.530,6.800,0.000,0.000,0.000
0.224,0.000,245.070,1.000,0.000,0.000,0.000
0.598,0.198,239.970,2.800,0.000,1.000,0.000
1.474,0.176,240.450,6.200,0.000,0.000,0.000
1.434,0.066,242.720,5.800,0.000,0.000,18.000
0.370,0.204,240.910,1.800,0.000,0.000,1.000
0.470,0.216,246.450,2.000,0.000,0.000,1.000
0.308,0.060,247.870,1.200,0.000,0.000,0.000
0.176,0.102,237.670,0.800,0.000,0.000,0.000
1.392,0.082,241.130,5.800,0.000,0.000,18.000
0.686,0.224,247.910,2.800,0.000,0.000,1.000
1.706,0.000,247.610,6.800,1.000,0.000,0.000
1.466,0.234,241.830,6.000,0.000,1.000,18.000
0.592,0.188,243.440,2.400,0.000,0.000,0.000
0.280,0.252,241.550,1.400,0.000,2.000,0.000
0.518,0.138,241.130,2.400,0.000,1.000,0.000
0.404,0.122,241.440,1.800,0.000,0.000,1.000
1.336,0.164,242.680,5.400,0.000,17.000,0.000
0.990,0.218,241.990,4.800,0.000,0.000,0.000
0.320,0.188,240.700,1.400,0.000,1.000,1.000
0.388,0.190,244.980,1.800,0.000,2.000,0.000
0.352,0.000,240.430,1.800,0.000,0.000,0.000
0.606,0.122,242.230,2.800,0.000,0.000,0.000
0.866,0.176,239.070,3.600,0.000,2.000,1.000
0.396,0.000,243.760,2.000,0.000,0.000,1.000
0.412,0.150,242.090,2.000,0.000,0.000,0.000
0.400,0.226,243.200,1.800,0.000,0.000,0.000
0.456,0.104,242.600,1.800,0.000,0.000,0.000
1.338,0.000,241.300,5.400,0.000,0.000,18.000
1.582,0.332,244.250,6.600,0.000,1.000,18.000
0.342,0.102,242.540,1.600,0.000,2.000,1.000
0.456,0.338,240.340,2.200,0.000,1.000,0.000
0.078,0.000,238.560,0.200,0.000,0.000,1.000
0.304,0.238,241.240,1.600,0.000,0.000,1.000
1.648,0.332,241.730,6.800,0.000,1.000,18.000
2.096,0.304,236.620,8.800,1.000,0.000,17.000
2.914,0.300,240.240,12.200,2.000,2.000,18.000
0.402,0.216,246.590,1.800,0.000,0.000,0.000
1.296,0.056,239.550,5.400,1.000,0.000,18.000
0.374,0.128,247.160,1.600,0.000,0.000,0.000
0.934,0.096,239.700,3.800,0.000,0.000,0.000
2.176,0.400,236.670,9.200,1.000,1.000,18.000
0.592,0.158,242.090,2.800,0.000,2.000,6.000
0.244,0.000,244.910,1.000,0.000,0.000,0.000
2.528,0.348,239.900,10.600,0.000,0.000,18.000
0.828,0.146,241.670,3.600,0.000,0.000,0.000
0.946,0.198,239.690,4.200,0.000,2.000,0.000
1.080,0.122,240.760,4.400,0.000,0.000,0.000
0.330,0.272,242.560,1.600,0.000,1.000,1.000
1.258,0.196,241.880,5.200,0.000,0.000,1.000
0.208,0.000,237.270,0.800,0.000,0.000,0.000
1.360,0.000,240.180,5.600,0.000,0.000,18.000
1.484,0.184,240.710,6.200,0.000,0.000,0.000
0.294,0.172,241.710,1.400,0.000,2.000,1.000
2.512,0.000,242.440,10.200,0.000,0.000,18.000
1.828,0.082,241.030,7.600,0.000,0.000,18.000
1.518,0.306,240.420,6.400,0.000,1.000,17.000
0.222,0.000,246.040,1.000,0.000,0.000,0.000
2.452,0.188,239.380,10.200,0.000,0.000,19.000
0.410,0.092,241.160,1.800,0.000,1.000,1.000
