Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption,Temperature,Humidity,Wind Speed
19746.83544,13524.62006,13827.46988,6.003,86.3,0.085
33648.6692,28525.31451,14613.20528,9.86,69.39,0.085
29788.32787,20403.71517,17530.68826,32.99,14.01,3.97
32801.95339,23911.29884,26127.6489,27.96,33.64,4.907
31397.8902,17739.71487,21009.45455,15.39,89.5,0.071
35958.6755,20600.8316,18089.35385,25.51,51.27,0.072
21466.32911,13539.20973,14319.03614,4.408,76.7,0.082
30172.88136,20275.98784,19288.76382,13.75,70.4,0.074
43371.65563,26910.18711,25491.69231,20.47,89.1,0.066
39508.10211,28359.02851,31364.01254,27.35,35.41,4.91
32340.68441,26518.56398,13529.89196,10.95,82.4,0.086
32779.74684,20126.44377,15735.90361,15.47,68.49,4.914
35806.61487,25891.86906,28011.53605,25.02,85.6,4.91
27379.11504,15436.59044,13761.63432,27.56,45.12,4.924
37385.78073,25177.21519,25112.63598,26.59,70.2,4.922
22460.8365,18274.31728,10170.46819,8.89,85.9,0.085
27512.54237,16778.1155,16706.89447,15.84,54.61,0.082
35335.62914,22180.04158,17829.41538,24.46,58.32,0.07
25699.40426,15932.92683,11223.87097,11.4,79.4,0.076
42167.08861,25644.9848,25677.10843,16.37,68.79,0.077
38527.57475,26145.56962,32222.25941,34.56,25.11,4.924
25181.69492,12601.82371,13760.32161,14.04,62.57,0.082
27145.53191,17367.07317,12390.96774,10.91,88.4,0.088
22600.35398,11986.27859,9590.194076,20.41,76.9,4.919
24185.87234,13331.70732,14603.22581,14.47,85.6,4.909
35642.7541,21926.93498,18154.49393,27.25,50.17,0.068
37328.12431,27746.9905,30413.04075,26.67,41.58,4.908
33571.52542,22121.58055,17222.11055,17.53,47.63,0.082
42774.03974,25731.39293,27145.84615,20.98,81.9,0.064
35817.72152,22205.47112,16759.51807,18.66,44.41,0.085
32795.44858,20576.76349,14391.2462,20.06,78.0,4.913
27022.84464,16218.6722,12949.78723,23.47,61.55,4.921
31664.49946,17879.0224,18042.18182,15.74,87.1,0.071
22086.07595,13404.25532,14880.0,14.97,68.97,0.072
30063.79747,20250.45593,19575.90361,8.49,84.5,0.077
33646.21444,20838.17427,10743.82979,21.58,52.96,0.087
38010.64639,32737.64959,16716.44658,10.51,59.35,0.077
32657.03422,26433.87542,9842.016807,12.22,71.7,0.086
24680.2649,13887.31809,13363.2,20.55,82.0,0.066
22037.46835,14235.86626,14122.40964,8.07,86.1,0.089
40779.57447,23337.80488,23928.3871,13.43,59.45,4.921
41176.64817,26994.29778,23684.01254,28.87,40.51,4.905
39210.09967,28496.20253,27486.5272,34.8,25.51,4.908
27027.69231,21057.02479,14590.84337,11.7,75.7,0.082
35884.0678,27559.87842,24290.41206,15.25,64.02,0.082
33493.78723,21029.26829,15985.16129,22.58,48.35,0.076
31027.69231,25471.4876,14862.6506,17.24,77.0,0.076
34349.73451,20746.77755,12849.68335,24.58,56.15,4.919
27169.58175,21764.95858,9939.97599,17.8,57.14,0.083
22971.86312,17482.66339,10913.80552,14.09,71.2,0.081
33506.04255,20904.87805,15816.77419,15.15,65.51,0.079
24938.76106,15960.49896,10143.24821,18.53,85.3,4.918
38400.0,23111.85031,19979.81538,28.58,35.29,4.922
27944.61538,22752.89256,9033.253012,18.21,52.15,0.078
23996.81063,15182.27848,17093.22176,20.52,67.37,4.91
23483.07692,18542.97521,12393.25301,12.35,75.8,0.083
21059.24051,12207.90274,14162.89157,11.6,71.7,4.922
27304.85106,16474.39024,11612.90323,10.61,89.3,0.067
46526.0177,31655.30146,16809.31563,20.92,78.7,4.917
40735.53829,28157.55016,27692.53918,29.54,61.12,4.904
37404.83907,23337.27561,21378.80878,27.53,64.45,4.92
40590.11407,34685.48635,16341.89676,15.49,60.48,0.095
30941.44487,25487.57288,10274.18968,16.49,68.56,0.074
38234.70199,22962.16216,23158.15385,19.27,57.47,4.917
22795.9322,13696.04863,14373.94975,15.53,62.45,0.084
29175.38462,22142.97521,10756.62651,21.37,41.51,4.918
20509.37705,12479.25697,10243.23887,14.08,89.0,4.916
44971.32743,26524.74012,19456.91522,22.43,77.9,4.918
21261.53846,16497.52066,8836.626506,18.97,80.2,0.068
28289.23077,20785.53719,17760.0,20.75,64.81,0.071
30087.07965,17850.31185,14673.58529,21.14,60.22,0.272
37097.98002,25880.46463,28077.74295,31.26,14.04,4.905
32285.93156,26691.6232,10014.88595,20.18,27.47,0.085
24815.21311,16870.58824,11420.89069,18.9,54.41,0.08
20694.68354,13127.05167,14330.60241,13.79,74.5,0.083
25368.51064,14432.92683,15567.09677,10.41,87.9,0.074
32299.74684,21636.47416,13376.38554,15.29,82.9,0.075
35233.90728,19818.71102,16878.27692,25.57,33.6,0.081
26078.9404,14542.20374,14320.24615,21.25,75.9,0.068
39482.88973,33632.40258,16145.97839,11.41,70.6,0.09
29372.30769,23098.76033,11294.45783,21.21,65.88,0.075
36649.47255,20569.85743,19636.36364,17.33,76.8,0.071
32901.26582,21964.74164,13515.18072,15.35,82.0,0.069
22924.55696,14301.51976,15446.74699,13.14,65.28,0.08
30344.61538,25557.02479,17690.60241,20.45,59.34,0.072
22928.39612,13479.83707,14795.63636,13.82,81.5,0.08
34125.16411,20935.26971,13515.86626,24.95,40.58,4.923
39607.94702,21266.94387,24469.66154,23.56,75.4,4.92
40133.8403,34317.27524,14970.46819,13.96,68.18,0.081
33891.99125,21222.82158,15132.40122,20.38,62.79,0.095
32881.02128,20257.31707,15828.3871,15.6,76.3,0.073
34992.31788,19766.32017,17197.29231,23.51,67.8,0.069
23875.61462,16089.87342,18316.31799,24.02,85.8,4.913
31133.24503,18699.7921,22567.38462,27.18,53.8,4.922
47551.85841,28066.52807,21604.41267,22.21,55.22,0.268
44868.03987,28230.37975,35349.2887,27.16,48.37,4.923
36433.27434,21184.61538,14338.22268,24.11,60.82,4.924
23961.35593,14122.79635,14889.16583,8.99,63.3,4.917
34727.40581,20008.9613,17902.54545,16.46,76.5,0.073
34510.39828,20507.53564,18996.36364,16.52,74.3,0.071
45053.16456,29631.61094,27626.0241,14.43,56.99,0.084
25907.69231,20744.6281,10918.55422,12.15,83.6,0.072
26734.97872,16814.63415,12042.58065,13.71,85.7,0.084
50126.70366,33593.6642,40307.96238,26.08,62.28,0.068
41036.00444,30301.58395,31905.70533,26.7,63.99,4.905
26185.30522,19851.31996,15233.60502,21.01,41.65,4.91
37072.40844,22979.93664,17881.88088,27.19,79.2,4.927
23248.34043,13613.41463,14794.83871,9.64,87.4,0.087
34662.0598,22010.12658,30005.02092,27.87,72.3,4.917
48701.08768,32069.27138,35787.83699,25.83,54.65,4.929
30691.52542,18842.55319,14680.76382,13.63,68.93,4.91
33481.16254,20258.24847,18618.18182,16.25,73.8,0.072
44657.31148,24876.78019,26059.91903,29.29,27.75,0.075
30880.60837,24633.32311,9588.47539,15.25,58.11,0.079
23089.60172,10778.00407,12677.81818,14.58,91.0,0.07
48089.00662,28017.87942,33224.86154,21.84,84.2,4.916
37015.38462,29967.7686,17031.3253,18.43,74.8,0.072
38344.77876,23242.82744,15144.26966,22.99,75.9,4.92
41662.31947,34020.74689,19649.3617,21.87,65.33,0.083
25978.90205,16221.99593,12858.18182,14.09,90.5,0.07
23957.52212,13281.08108,9519.59142,18.38,73.4,4.916
32693.27414,23246.04013,17280.0,22.37,53.52,4.906
46902.85714,30239.24051,38867.94979,33.11,23.48,4.916
22643.34601,18635.16416,8343.817527,8.96,92.7,0.082
36259.67213,22305.88235,21833.19838,21.52,49.93,0.079
31538.36066,19326.31579,18008.74494,24.95,41.57,0.072
34918.00222,20246.67371,16635.98746,31.16,38.91,4.934
32476.59574,20315.85366,15625.16129,15.16,63.61,0.081
49907.24252,31131.64557,43332.5523,28.25,52.58,4.91
21864.61538,16824.79339,9837.108434,14.69,55.07,0.082
38018.55716,25291.23548,29498.18182,26.23,80.7,4.918
33468.76211,19591.0387,18286.54545,20.29,51.4,0.089
23033.69803,13208.71369,9197.325228,16.86,90.0,4.914
25648.90365,15858.22785,19738.24268,23.03,74.1,4.91
22104.3038,13294.83283,14469.39759,16.69,62.82,4.92
29081.28746,19338.12038,18658.30721,24.27,76.8,4.911
32256.0,20243.96285,19880.16194,20.95,67.25,0.079
35252.45902,22703.40557,17670.60729,21.4,67.47,4.923
30690.59081,19082.98755,11204.86322,17.3,64.93,4.923
37395.39823,22011.64241,16544.55567,25.14,54.05,4.924
42724.78405,27064.55696,32866.94561,24.46,82.9,4.919
41592.18646,28400.84477,29377.80564,22.34,71.2,4.905
28978.60465,19632.91139,21334.8954,22.2,57.63,4.904
31932.07877,23963.90041,11677.56839,19.47,87.4,0.073
43633.22034,25641.33739,24695.63819,13.05,55.01,0.083
31037.19912,19262.24066,13597.56839,18.38,84.1,0.172
36866.52079,22716.59751,13854.3465,23.69,38.52,4.924
28501.19205,17479.83368,20936.86154,22.07,75.0,4.918
38406.35762,22269.85447,29721.6,22.76,84.2,4.919
29789.40919,25745.22822,16112.82675,18.22,70.1,0.081
31527.45763,19123.40426,14721.28643,13.95,64.85,0.081
38990.76923,32723.55372,17407.22892,19.14,66.01,0.083
26168.49558,18430.35343,8019.284985,19.85,84.7,4.911
22221.63934,12564.70588,9893.441296,18.74,90.3,4.914
44544.0,24824.7678,26298.94737,21.79,46.03,4.922
35288.79023,23687.01162,24653.04075,21.45,74.4,4.912
22442.0339,12036.47416,12897.76884,14.97,56.71,0.08
28869.2459,18583.28173,12977.48988,17.3,87.5,4.918
22886.69202,18716.1706,6978.151261,15.24,64.65,0.081
29822.86349,18459.97888,18574.04389,24.52,88.7,4.918
32658.22785,20538.60182,15452.53012,16.58,71.6,0.073
34126.77966,20213.98176,19595.57789,13.83,68.78,0.077
35052.1519,20447.41641,16649.63855,16.93,73.0,0.074
35088.78689,21154.17957,17897.97571,23.92,50.65,0.073
43257.21854,26356.34096,27275.81538,20.11,69.65,4.917
25541.88184,16405.39419,11175.68389,18.74,85.1,4.915
26966.12691,16394.19087,11881.82371,18.03,66.89,0.114
41401.51899,25265.6535,25573.01205,12.55,69.59,4.923
38518.46809,22964.63415,23254.83871,13.63,74.7,0.087
31759.32203,19973.25228,15566.47236,14.38,65.87,4.916
23052.25532,13423.17073,14010.96774,10.0,82.1,0.071
25999.32203,17135.56231,12266.77387,13.7,69.41,0.071
40371.0299,27968.35443,29703.76569,29.65,49.62,4.911
24736.74419,16465.82278,19997.32218,20.68,67.37,4.91
22544.10596,13846.15385,11756.30769,17.42,72.3,0.076
28130.23256,19344.3038,20328.70293,22.52,50.76,4.912
24081.70213,14326.82927,14620.64516,7.9,87.3,0.084
45563.89381,30753.43035,16626.92543,20.69,79.4,4.923
22918.48101,13885.71429,13995.18072,11.76,56.99,0.09
45077.98687,28064.31535,19357.56839,20.37,78.3,0.081
21329.27757,16926.66462,9478.991597,14.13,83.5,0.079
38344.61538,31619.00826,21808.19277,18.25,72.3,0.072
39859.71143,23569.16579,21047.77429,22.06,75.8,4.92
24406.77966,14629.78723,14906.53266,15.17,57.28,0.079
27085.86433,21121.9917,9979.331307,21.22,57.94,0.085
28052.03108,21094.40338,17911.97492,26.4,63.39,4.905
22067.8481,13750.75988,14012.53012,9.21,76.7,0.081
39188.45727,26644.56177,24279.87461,26.03,41.98,4.927
24826.32911,16154.40729,11629.87952,11.72,82.8,0.085
35877.1116,23228.21577,12249.48328,22.26,71.4,4.917
21262.35741,15807.30285,9352.220888,6.817,87.0,0.09
34364.63895,21047.3029,13381.64134,25.32,36.08,4.918
24789.87342,15297.26444,11722.40964,11.83,49.45,0.087
21225.85551,16867.75084,9709.483794,7.2,78.8,0.085
35325.56962,22263.82979,16580.24096,18.77,42.44,0.086
33915.17761,20764.15479,17960.72727,19.47,58.74,0.071
25293.63934,15187.6161,15262.83401,14.79,71.1,0.072
30824.61538,25687.19008,10906.98795,21.57,64.38,0.073
37653.68771,25720.25316,31625.77406,31.84,54.19,4.91
29950.72142,24382.68215,21691.78683,26.35,61.12,4.901
29611.89789,20782.68215,20415.79937,22.05,43.39,4.909
31752.39344,17892.26006,17052.63158,33.73,22.08,0.639
29175.38462,23876.03306,11635.66265,20.87,62.31,0.074
28990.72848,17820.37422,13469.53846,21.97,77.3,0.069
41442.65781,30056.96203,31167.86611,34.94,24.01,4.906
28360.67797,16566.56535,16851.61809,10.31,82.9,0.075
37974.14449,31485.73182,15731.09244,14.97,78.3,0.082
33418.98305,20772.03647,16405.86935,10.73,65.84,0.079
24473.92405,14403.64742,14452.04819,8.87,81.1,0.084
33350.95802,18289.61303,18688.0,15.86,86.4,0.077
26937.19149,16320.73171,12727.74194,9.14,87.7,0.084
22710.50847,12368.38906,13650.33166,9.88,86.9,0.076
28539.59096,16016.70061,19322.18182,16.02,85.0,0.067
32278.93805,20675.67568,16750.48008,25.07,75.3,0.321
21111.86441,13258.35866,11022.15075,6.243,63.37,0.081
37207.17608,24413.92405,23576.23431,25.84,74.3,4.921
32040.39867,22374.68354,27938.41004,25.47,46.35,4.908
34791.86441,21176.8997,16845.82915,12.81,56.76,4.918
27646.72566,17214.13721,9631.378958,19.64,88.9,4.912
23480.65574,15113.31269,10610.52632,19.31,91.4,4.917
35856.95364,21817.04782,21628.06154,23.85,45.87,0.08
22849.23077,19885.53719,7390.843373,9.52,74.8,4.924
22615.38462,16720.66116,10305.54217,15.17,87.1,0.072
25214.30464,13958.41996,15572.67692,19.94,85.2,0.066
38321.01266,24977.5076,24532.04819,10.58,81.6,0.082
23780.98859,16514.26818,7681.152461,5.514,93.0,0.081
31295.57987,26637.75934,12529.60486,21.34,81.2,0.081
39464.37029,21684.31772,26141.09091,14.72,84.4,0.071
34118.80851,20089.02439,16443.87097,15.55,55.59,0.085
32023.31126,19661.53846,24818.21538,20.55,88.3,4.92
34248.81356,20801.21581,19375.59799,13.78,69.62,0.076
49442.66371,36201.47835,37960.62696,29.05,50.88,4.907
35819.40067,23759.2397,25802.63323,23.44,63.68,4.904
43498.98305,26531.30699,25234.01005,15.72,58.01,0.082
37268.44106,29887.69561,16336.13445,15.93,60.71,0.083
31643.38983,19262.00608,15595.41709,10.36,77.6,0.083
35000.65574,21919.50464,21314.33198,17.24,58.82,4.919
34293.53612,28819.8834,14538.29532,12.27,78.8,0.077
29600.35011,21349.79253,11204.86322,20.67,70.6,4.925
24242.84177,13340.52953,14528.0,16.6,83.5,0.065
22873.78468,16791.12988,16551.72414,25.87,87.8,4.91
24669.95745,14959.7561,14835.48387,11.7,83.2,0.082
33524.42553,19737.80488,20514.19355,13.45,61.75,4.917
26276.51238,17090.83503,13114.18182,12.33,76.6,0.087
40418.04255,22803.65854,24201.29032,12.97,81.7,0.083
36238.4106,23688.14969,18160.24615,24.11,56.32,0.07
31507.22433,24364.529,9092.917167,11.79,78.0,0.086
39003.07692,32414.87603,17418.79518,20.47,72.8,0.072
42449.49153,25185.41033,24736.1608,10.63,81.2,0.073
31024.72808,21318.6906,21908.46395,27.74,72.8,4.906
39699.88901,25523.12566,23274.73354,27.11,51.28,4.906
40401.52091,34052.16324,16578.15126,12.54,66.19,0.076
31298.68676,17259.47047,22062.54545,15.55,71.9,0.074
23606.15385,18401.65289,8582.168675,13.64,86.4,0.081
35634.00666,25268.42661,27975.4232,25.81,88.8,4.907
40575.71587,28450.26399,31291.78683,23.1,64.48,0.068
29423.04636,21959.25156,15560.86154,22.81,77.0,0.068
31884.41065,25955.20098,9657.623049,17.79,68.26,0.076
37436.81063,24649.36709,29938.74477,24.32,86.6,4.919
22479.08745,17604.17306,6914.765906,13.67,80.2,0.079
29246.51163,19708.86076,23136.40167,24.16,86.7,4.915
33575.38462,27119.00826,14683.37349,14.74,69.56,4.919
32259.82301,21330.56133,16173.89173,26.85,61.85,0.325
20696.57795,15689.4753,9588.47539,13.52,55.04,0.08
28742.46393,18536.00845,19001.37931,23.33,56.55,4.923
31397.71863,26076.71065,9588.47539,15.0,54.92,0.085
38788.86076,23664.43769,24543.61446,13.43,66.96,4.914
35793.37748,22995.842,18337.47692,27.62,33.89,4.916
43133.16456,27311.8541,25555.66265,13.22,75.6,0.083
35714.43038,22953.19149,17950.84337,11.23,66.01,0.089
30886.77966,19032.21884,18733.02513,13.84,66.49,0.083
32045.51422,19206.22407,9436.595745,20.18,55.86,0.09
44804.25249,29088.60759,38777.57322,27.39,37.98,4.921
35122.57492,22333.68532,26819.81191,26.59,77.9,4.925
24280.22198,15806.54699,16244.76489,19.61,44.05,4.909
21450.95057,17493.70973,9611.52461,14.84,58.85,0.078
22310.88608,14148.32827,14920.48193,8.96,76.5,0.082
37077.61589,22262.37006,23116.8,20.44,89.3,0.063
32699.93541,15074.54175,17786.18182,16.47,77.5,0.073
26225.84071,14890.22869,12767.31359,21.53,75.7,4.914
22788.76596,13463.41463,13999.35484,8.58,87.2,0.075
23883.07692,18769.83471,11508.43373,19.0,70.2,0.073
33292.0354,18621.20582,14191.13381,24.12,52.03,4.924
27621.23894,17476.09148,8131.072523,20.55,78.3,4.915
30508.47458,21085.71429,15844.34171,11.87,83.2,4.919
34376.94915,20939.81763,22698.45226,8.88,51.48,0.096
30320.0,25657.43802,9958.554217,16.34,50.08,4.915
26149.38053,14875.25988,12549.62206,21.28,77.1,4.912
22298.73418,13845.59271,14105.06024,9.98,75.1,0.084
33432.21239,21618.71102,12837.91624,21.57,87.0,4.911
40370.86093,24758.41996,24381.04615,20.03,73.1,0.08
25856.98031,14575.51867,12395.37994,20.12,70.8,4.917
31639.08197,20355.41796,15577.65182,25.18,26.63,4.923
37302.85714,26005.06329,27685.35565,29.1,47.88,4.91
28609.23077,21901.23967,16441.44578,20.45,66.34,0.073
25432.02658,16355.6962,17424.60251,21.39,67.37,4.902
27403.07692,19848.34711,15730.12048,20.03,73.1,0.071
20215.38462,14426.03306,7645.301205,18.17,79.9,0.07
32193.04918,20600.6192,16213.11741,22.34,67.96,0.068
44567.52735,25786.30705,19468.44985,22.05,70.6,0.065
31827.93443,20875.5418,14761.45749,19.26,82.5,4.917
41359.82495,34095.43568,19789.42249,17.75,80.1,0.082
20978.46154,14582.2314,9617.349398,12.05,83.5,0.077
38776.14639,21746.63951,25041.45455,16.04,65.13,0.082
20245.78723,12102.43902,10248.3871,11.02,58.11,0.077
27262.31947,16685.47718,11391.61094,19.99,87.9,0.068
24291.64557,15005.47112,11589.39759,8.47,85.0,0.089
26141.53846,21183.47107,11363.85542,21.3,72.2,0.069
23258.73418,15176.8997,14712.28916,9.4,84.4,0.077
34776.15894,18740.95634,16653.78462,23.2,69.83,0.073
32699.93541,18399.59267,17704.72727,22.86,25.59,0.088
31779.0899,21364.30834,21890.40752,26.89,77.0,4.908
29733.55932,18795.13678,18924.0603,9.26,86.8,0.083
21946.32911,13918.54103,14099.27711,10.68,80.5,0.084
40282.79871,22325.86558,26123.63636,17.44,71.4,0.087
23209.12548,19386.31482,10072.509,13.36,85.7,0.084
28313.84615,21663.22314,11230.84337,20.57,53.94,0.079
32519.48936,22112.19512,15979.35484,24.12,37.95,4.919
25393.15589,20122.73704,7854.021609,6.536,87.4,0.082
22953.84615,17933.05785,10114.6988,19.01,81.8,0.07
36578.46154,29588.42975,17170.12048,19.79,74.7,0.066
31987.69231,26624.38017,11068.91566,22.46,49.7,0.087
38606.58228,24167.78116,19408.19277,14.29,49.08,0.082
29358.98734,16756.231,16481.92771,16.75,54.71,4.918
22092.71523,12974.22037,13717.66154,21.14,81.2,4.917
31184.5505,22683.42133,24261.81818,26.97,82.4,4.908
36655.67277,17039.5112,17448.72727,18.13,79.3,0.074
43114.21277,25350.0,25083.87097,16.01,69.95,4.916
49730.34406,33160.29567,38995.86207,26.53,53.68,0.071
32006.15385,26706.19835,10560.0,19.6,57.89,4.918
22574.16393,13434.05573,10610.52632,18.86,90.8,4.919
24985.43046,13861.12266,13959.87692,22.04,72.4,0.068
37353.88704,25169.62025,27528.70293,34.73,29.38,4.907
31787.07224,27295.48941,13449.21969,9.96,76.9,0.083
49046.11296,31572.1519,43971.21339,26.43,77.8,4.913
45071.6849,25887.13693,19526.80851,21.67,72.2,0.067
34584.51064,20773.17073,20647.74194,12.1,82.3,0.084
28935.38462,21860.33058,18777.83133,19.74,67.71,4.922
44858.95671,27020.90813,25062.31975,24.8,89.0,4.92
22598.80851,12885.36585,13482.58065,10.56,67.31,0.083
28929.23077,21607.43802,18737.3494,19.55,69.25,4.921
26388.98361,16019.81424,15851.65992,18.54,72.3,0.075
41342.86349,29799.78881,26783.69906,26.77,74.0,4.902
40899.66102,24787.84195,25372.94472,13.64,67.42,0.084
34547.28477,19541.78794,16647.87692,24.69,35.34,0.083
34445.56291,21521.41372,16854.64615,24.87,66.03,0.072
37288.75274,23560.58091,12395.37994,23.1,71.2,0.075
40785.64784,27330.37975,27570.87866,27.41,63.2,4.908
35479.14894,21556.09756,19718.70968,14.67,68.58,0.083
25494.87236,16327.34952,14986.83386,22.44,75.6,4.911
24399.7377,15183.90093,15047.12551,20.3,73.5,0.076
44846.62252,25589.18919,25657.10769,20.48,85.6,0.065
29322.53165,13889.3617,14648.6747,12.6,65.98,0.083
36529.23077,29941.73554,17112.28916,19.19,69.18,0.076
46264.77876,26928.89813,19815.81205,27.21,35.58,4.925
29563.07692,24902.47934,9333.975904,15.37,37.97,4.914
34802.93008,23960.71806,22052.91536,26.31,73.7,4.908
32336.20253,21443.16109,16632.28916,15.44,64.93,0.074
20848.6692,16278.61307,9490.516206,5.572,85.7,0.084
38565.33907,21119.7556,25146.18182,18.84,55.86,0.082
38444.93617,22876.82927,18174.19355,16.62,66.89,0.073
36265.96721,22744.27245,18346.88259,21.51,70.7,4.921
23236.08511,12468.29268,13796.12903,9.87,88.0,0.084
36412.30769,29904.54545,21443.85542,14.9,85.2,0.076
33733.67089,20925.22796,16158.07229,16.35,73.5,0.075
37489.02128,22679.26829,18063.87097,18.29,45.13,0.078
40205.56291,25342.20374,30206.03077,21.42,71.0,4.915
37665.76271,23679.02736,23034.21106,13.82,66.62,0.085
46054.51327,28313.51351,23440.08172,23.71,76.6,0.273
21753.84615,15958.26446,10484.81928,15.36,81.0,0.074
40243.70861,24522.66112,22573.29231,22.29,50.22,0.079
33100.88496,19564.24116,15238.40654,18.3,80.6,4.925
35170.33113,21139.70894,17870.76923,23.74,57.21,0.07
32635.75221,22703.9501,13443.92237,23.88,64.73,4.923
31667.69231,25594.21488,9837.108434,18.7,58.49,4.918
45863.84106,25596.6736,27476.67692,22.02,78.7,0.084
23601.35593,14235.86626,14663.39698,15.56,64.22,0.077
42791.18644,24459.57447,25413.46734,13.68,74.3,0.073
24524.60177,13150.10395,9619.611849,19.36,69.79,4.92
32221.59292,18130.97713,16215.07661,27.36,34.41,4.927
